,City,Lat,lon,Temp_max,Humidity,Cloudiness,Wind_speed,Country,Date
0,Dikson,73.5069,80.5464,-0.98,58,100,10.9,RU,1633825055
1,Kavieng,-2.5744,150.7967,28.63,71,83,3.95,PG,1633824758
2,Ribeira Grande,38.5167,-28.7,21.84,81,76,9.58,PT,1633825058
3,Avenal,36.0041,-120.129,24.5,27,0,4.85,US,1633825059
4,Namatanai,-3.6667,152.4333,29.02,69,66,3.14,PG,1633825060
5,Tromsø,69.6496,18.957,8.01,93,75,2.06,NO,1633825062
6,Ushuaia,-54.8,-68.3,6.81,87,75,11.32,AR,1633825063
7,Mataura,-46.1927,168.8643,18.04,41,26,1.81,NZ,1633825064
8,Vao,-22.6667,167.4833,21.13,62,50,6.79,NC,1633825065
9,Rikitea,-23.1203,-134.9692,23.61,81,94,7.83,PF,1633825067
10,Atuona,-9.8,-139.0333,25.61,74,7,7.79,PF,1633824917
11,Sorong,-0.8833,131.25,27.56,84,60,2.84,ID,1633825069
12,Oktyabr'skiy,54.4815,53.471,6.57,84,99,1.67,RU,1633824803
13,Provideniya,64.3833,-173.3,0.26,72,26,1.88,RU,1633825072
14,Qui Nhon,13.7667,109.2333,26.7,81,100,2.3,VN,1633825073
15,Constantine,36.365,6.6147,13.67,82,40,1.03,DZ,1633825074
16,Khandyga,62.6667,135.6,1.05,88,100,3.56,RU,1633825076
17,Okhotsk,59.3833,143.3,-1.76,68,4,5.44,RU,1633825077
18,Hilo,19.7297,-155.09,26.27,83,90,2.57,US,1633825078
19,Magadan,59.5667,150.8,0.8,47,4,0.2,RU,1633825080
20,Castro,-24.7911,-50.0119,13.54,99,100,1.96,BR,1633825081
21,Puerto Baquerizo Moreno,-0.9,-89.6,20.1,81,66,4.24,EC,1633825083
22,Albany,42.6001,-73.9662,16.23,80,100,0.45,US,1633825085
23,Buala,-8.145,159.5921,29.41,67,87,1.53,SB,1633825086
24,Alta Gracia,-31.6529,-64.4283,20.2,40,56,1.65,AR,1633825087
25,Punta Arenas,-53.15,-70.9167,6.06,87,75,10.29,CL,1633825089
26,Aykhal,66.0,111.5,0.26,98,100,6.14,RU,1633825090
27,Hong Gai,20.956,107.0946,22.95,94,100,7.93,VN,1633825091
28,New Norfolk,-42.7826,147.0587,12.03,48,65,2.24,AU,1633825093
29,Kahului,20.8947,-156.47,26.59,81,40,8.75,US,1633825094
30,Along,28.1667,94.7667,20.44,97,44,0.8,IN,1633825095
31,Upernavik,72.7868,-56.1549,0.77,68,99,8.58,GL,1633825097
32,Ngunguru,-35.6167,174.5,19.53,64,72,6.41,NZ,1633825098
33,Busselton,-33.65,115.3333,12.8,72,93,3.49,AU,1633825099
34,Lorengau,-2.0226,147.2712,27.8,77,100,1.06,PG,1633825100
35,Saint Paul Harbor,57.79,-152.4072,11.73,43,20,8.75,US,1633825102
36,Sokoni,-6.4333,39.55,25.22,80,5,4.66,TZ,1633825103
37,Xianyang,34.3378,108.7026,9.58,93,90,4.0,CN,1633825104
38,Ancud,-41.8697,-73.8203,11.74,92,0,2.0,CL,1633825106
39,Bilma,18.6853,12.9164,27.56,17,1,2.38,NE,1633825107
40,Faanui,-16.4833,-151.75,25.97,70,13,2.67,PF,1633825108
41,Torbay,47.6666,-52.7314,6.99,86,90,8.23,CA,1633825110
42,Kapaa,22.0752,-159.319,30.99,69,90,3.58,US,1633825111
43,Bambous Virieux,-20.3428,57.7575,22.34,83,75,6.69,MU,1633825112
44,Hobyo,5.3505,48.5268,25.66,86,33,5.68,SO,1633825113
45,East London,-33.0153,27.9116,15.77,69,12,7.97,ZA,1633825115
46,Saint George,37.1041,-113.5841,23.13,21,20,1.79,US,1633824945
47,Krasnosel'kup,65.7,82.4667,-3.37,77,87,6.19,RU,1633825117
48,Riyadh,24.6877,46.7219,23.08,18,1,1.46,SA,1633825118
49,Yumen,40.2833,97.2,0.58,36,0,3.02,CN,1633825120
50,Hasaki,35.7333,140.8333,22.38,78,28,2.31,JP,1633825121
51,Puerto Ayora,-0.7393,-90.3518,20.86,88,74,2.24,EC,1633825122
52,Sørland,67.667,12.6934,10.91,94,100,13.63,NO,1633825124
53,Asău,46.4333,26.4,4.31,80,12,1.94,RO,1633825125
54,Erzin,36.9559,36.2,20.56,31,0,1.34,TR,1633825126
55,Huarmey,-10.0681,-78.1522,18.39,85,61,3.67,PE,1633825128
56,Pevek,69.7008,170.3133,-3.61,93,100,1.3,RU,1633825129
57,Leningradskiy,69.3833,178.4167,-6.52,94,100,1.9,RU,1633825130
58,Merrill,45.1805,-89.6835,18.87,88,90,2.57,US,1633824849
59,Sinnamary,5.3833,-52.95,26.84,77,100,6.11,GF,1633825133
60,Caxito,-8.5785,13.6643,23.36,81,75,1.55,AO,1633825134
61,Forsytheganj,52.6333,29.7333,2.4,80,0,1.49,BY,1633825135
62,Freeport,40.6576,-73.5832,19.07,73,90,2.68,US,1633825116
63,Xinmin,41.9908,122.8253,12.94,57,96,3.98,CN,1633825138
64,Khatanga,71.9667,102.5,-8.71,97,100,0.11,RU,1633825139
65,Tiksi,71.6872,128.8694,-8.06,91,83,1.08,RU,1633825140
66,Sobolevo,54.4299,31.8996,2.96,78,22,0.13,RU,1633825142
67,Hobart,-42.8794,147.3294,12.28,50,40,2.68,AU,1633824855
68,Yellowknife,62.456,-114.3525,5.79,100,90,2.06,CA,1633825140
69,San Alberto,7.7611,-73.3922,25.17,92,61,2.16,CO,1633825146
70,Bethel,41.3712,-73.414,16.99,84,75,0.89,US,1633825147
71,Qaanaaq,77.484,-69.3632,-1.99,74,100,6.21,GL,1633825148
72,Ponta do Sol,32.6667,-17.1,22.35,77,19,2.02,PT,1633825150
73,Hambantota,6.1241,81.1185,26.76,83,100,6.88,LK,1633825151
74,Bluff,-46.6,168.3333,18.22,58,62,1.15,NZ,1633825152
75,Ponnāni,10.767,75.9252,24.62,90,97,2.09,IN,1633825155
76,Kropotkin,45.4375,40.5756,9.1,66,97,7.34,RU,1633825156
77,Fortuna,40.5982,-124.1573,20.82,56,3,3.13,US,1633825157
78,Norman Wells,65.282,-126.8329,0.02,93,75,4.63,CA,1633825159
79,Kaitangata,-46.2817,169.8464,13.85,67,3,2.22,NZ,1633825161
80,Vaini,-21.2,-175.2,26.09,83,40,3.6,TO,1633825162
81,Iquitos,-3.7481,-73.2472,26.02,89,40,1.54,PE,1633825163
82,Codrington,-38.2667,141.9667,11.79,71,26,5.5,AU,1633825165
83,Coyhaique,-45.5752,-72.0662,10.97,66,20,1.54,CL,1633824981
